51086,20010,38.89,-77.03
1552380,98115,47.68,-122.28
1434077,1062,42.32,-72.67
1013,75251,32.79,-96.76
101004768,95667,38.73,-120.8
1744226,20901,39.01,-77.02
1021,45248,39.09,-84.51
1529845,41001,38.96,-84.38
29587,94549,37.9,-122.11
37683,15213,40.43,-79.97
52002,47374,39.82,-84.88
56531,47393,39.96,-85
1580606,44654,40.55,-81.91
101000080,45208,39.09,-84.51
58704,10013,40.71,-73.99
1050,47362,39.92,-85.36
49251,60640,41.83,-87.68
1011784,10011,40.71,-73.99
3630,7739,40.33,-74.03
1126690,46208,39.77,-86.14
1085,60201,42.04,-87.68
1088,81623,39.39,-107.21
58053,7042,40.82,-74.21
63125,45402,39.77,-84.19
1093,8055,39.86,-74.82
1092,46219,39.77,-86.14
33831,19343,40.09,-75.77
14470,19382,39.95,-75.6
1659898,20901,39.01,-77.02
101006340,48198,42.24,-83.62
56465,13114,43.46,-76.23
1475630,47374,39.82,-84.88
49532,43202,39.98,-82.98
1127,6109,41.7,-72.67
51287,53716,43.07,-89.38
1181148,43022,40.37,-82.39
1185342,19119,39.95,-75.16
1258831,46205,39.77,-86.14
1066375,45440,39.77,-84.19
1161,48103,42.27,-83.73
1586134,48864,42.7,-84.41
1281266,2446,42.32,-71.14
101001129,97214,45.51,-122.64
1198,61832,40.14,-87.61
1206,60202,42.04,-87.68
1012738,47995,40.75,-87.04
2099842,31537,30.83,-82
8839,47933,40.04,-86.89
1219,10520,41.22,-73.89
57387,47330,39.81,-84.99
1012201,47408,39.16,-86.52
1062009,47374,39.82,-84.88
1236,75248,32.79,-96.76
1242,47374,39.82,-84.88
1247,46227,39.77,-86.14
1248,45320,39.74,-84.63
1262,47374,39.82,-84.88
1264,14534,43.09,-77.51
55575,60091,42.07,-87.72
1271,45056,39.5,-84.74
1636200,46220,39.77,-86.14
1272,46227,39.77,-86.14
15778,4347,44.29,-69.81
1412175,47404,39.16,-86.52
1338,31405,32.08,-81.1
51757,98121,47.61,-122.34
1343,47394,40.17,-84.97
101001166,3768,43.8,-72.15
37686,33321,26.14,-80.13
1373,20910,39.01,-77.02
1401,12571,41.99,-73.87
1408097,48198,42.24,-83.62
55696,37211,36.17,-86.78
1452,5301,42.86,-72.57
1054498,47374,39.82,-84.88
1473168,2138,42.37,-71.11
37691,98041,47.75,-122.21
1245297,48105,42.27,-83.73
1006889,28801,35.57,-82.54
1486,10022,40.71,-73.99
47872,66735,37.52,-94.7
23019,60525,41.8,-87.87
11521,1201,42.45,-73.26
66758,20010,38.89,-77.03
101000058,60618,41.83,-87.68
51958,2140,42.37,-71.11
1250881,47374,39.82,-84.88
1250989,48105,42.27,-83.73
34499,20772,38.81,-76.75
51881,40204,38.22,-85.74
